rf,year,month,sp_ret,t1,t1_index
0.0041,2000,1,-0.050904,2000-01-31,2000-01-03
0.0043,2000,2,-0.020108,2000-02-29,2000-02-01
0.0047,2000,3,0.09672,2000-03-31,2000-03-01
0.0046,2000,4,-0.030796,2000-04-28,2000-04-03
0.005,2000,5,-0.021915,2000-05-31,2000-05-01
0.004,2000,6,0.023934,2000-06-30,2000-06-01
0.0048,2000,7,-0.016341,2000-07-31,2000-07-03
0.005,2000,8,0.060699,2000-08-31,2000-08-01
0.0051,2000,9,-0.053483,2000-09-29,2000-09-01
0.0056,2000,10,-0.004949,2000-10-31,2000-10-02
0.0051,2000,11,-0.080069,2000-11-30,2000-11-01
0.005,2000,12,0.004053,2000-12-29,2000-12-01
0.0054,2001,1,0.034637,2001-01-31,2001-01-01
0.0038,2001,2,-0.092291,2001-02-28,2001-02-01
0.0042,2001,3,-0.064205,2001-03-30,2001-03-01
0.0039,2001,4,0.076814,2001-04-30,2001-04-02
0.0032,2001,5,0.00509,2001-05-31,2001-05-01
0.0028,2001,6,-0.025004,2001-06-29,2001-06-01
0.003,2001,7,-0.010772,2001-07-31,2001-07-02
0.0031,2001,8,-0.064108,2001-08-31,2001-08-01
0.0028,2001,9,-0.081723,2001-09-28,2001-09-03
0.0022,2001,10,0.018099,2001-10-31,2001-10-01
0.0017,2001,11,0.075176,2001-11-30,2001-11-01
0.0015,2001,12,0.007574,2001-12-31,2001-12-03
0.0014,2002,1,-0.015574,2002-01-31,2002-01-01
0.0013,2002,2,-0.020766,2002-02-28,2002-02-01
0.0013,2002,3,0.036739,2002-03-29,2002-03-01
0.0015,2002,4,-0.061418,2002-04-30,2002-04-01
0.0014,2002,5,-0.009081,2002-05-31,2002-05-01
0.0013,2002,6,-0.072465,2002-06-28,2002-06-03
0.0015,2002,7,-0.078995,2002-07-31,2002-07-01
0.0014,2002,8,0.004881,2002-08-30,2002-08-01
0.0014,2002,9,-0.110013,2002-09-30,2002-09-02
0.0014,2002,10,0.086436,2002-10-31,2002-10-01
0.0012,2002,11,0.05707,2002-11-29,2002-11-01
0.0011,2002,12,-0.060333,2002-12-31,2002-12-02
0.001,2003,1,-0.027415,2003-01-31,2003-01-01
0.0009,2003,2,-0.017004,2003-02-28,2003-02-03
0.001,2003,3,0.008358,2003-03-31,2003-03-03
0.001,2003,4,0.081044,2003-04-30,2003-04-01
0.0009,2003,5,0.050899,2003-05-30,2003-05-01
0.001,2003,6,0.011322,2003-06-30,2003-06-02
0.0007,2003,7,0.016224,2003-07-31,2003-07-01
0.0007,2003,8,0.017873,2003-08-29,2003-08-01
0.0008,2003,9,-0.011944,2003-09-30,2003-09-01
0.0007,2003,10,0.054962,2003-10-31,2003-10-01
0.0007,2003,11,0.007129,2003-11-28,2003-11-03
0.0008,2003,12,0.050765,2003-12-31,2003-12-01
0.0007,2004,1,0.017276,2004-01-30,2004-01-01
0.0006,2004,2,0.012209,2004-02-27,2004-02-02
0.0009,2004,3,-0.016359,2004-03-31,2004-03-01
0.0008,2004,4,-0.016791,2004-04-30,2004-04-01
0.0006,2004,5,0.012083,2004-05-31,2004-05-03
0.0008,2004,6,0.017989,2004-06-30,2004-06-01
0.001,2004,7,-0.034291,2004-07-30,2004-07-01
0.0011,2004,8,0.002287,2004-08-31,2004-08-02
0.0011,2004,9,0.009364,2004-09-30,2004-09-01
0.0011,2004,10,0.014014,2004-10-29,2004-10-01
0.0015,2004,11,0.038595,2004-11-30,2004-11-01
0.0016,2004,12,0.032458,2004-12-31,2004-12-01
0.0016,2005,1,-0.02529,2005-01-31,2005-01-03
0.0016,2005,2,0.018903,2005-02-28,2005-02-01
0.0021,2005,3,-0.019118,2005-03-31,2005-03-01
0.0021,2005,4,-0.020109,2005-04-29,2005-04-01
0.0024,2005,5,0.029952,2005-05-31,2005-05-02
0.0023,2005,6,-0.000143,2005-06-30,2005-06-01
0.0024,2005,7,0.035968,2005-07-29,2005-07-01
0.003,2005,8,-0.011222,2005-08-31,2005-08-01
0.0029,2005,9,0.006949,2005-09-30,2005-09-01
0.0027,2005,10,-0.017741,2005-10-31,2005-10-03
0.0031,2005,11,0.035186,2005-11-30,2005-11-01
0.0032,2005,12,-0.000952,2005-12-30,2005-12-01
0.0035,2006,1,0.025467,2006-01-31,2006-01-02
0.0034,2006,2,0.000453,2006-02-28,2006-02-01
0.0037,2006,3,0.011065,2006-03-31,2006-03-01
0.0036,2006,4,0.012187,2006-04-28,2006-04-03
0.0043,2006,5,-0.030917,2006-05-31,2006-05-01
0.004,2006,6,8.7e-05,2006-06-30,2006-06-01
0.004,2006,7,0.005086,2006-07-31,2006-07-03
0.0042,2006,8,0.021274,2006-08-31,2006-08-01
0.0041,2006,9,0.024566,2006-09-29,2006-09-01
0.0041,2006,10,0.031508,2006-10-31,2006-10-02
0.0042,2006,11,0.016467,2006-11-30,2006-11-01
0.004,2006,12,0.012616,2006-12-29,2006-12-01
0.0044,2007,1,0.014059,2007-01-31,2007-01-01
0.0038,2007,2,-0.021846,2007-02-28,2007-02-01
0.0043,2007,3,0.00998,2007-03-30,2007-03-01
0.0044,2007,4,0.043291,2007-04-30,2007-04-02
0.0041,2007,5,0.032549,2007-05-31,2007-05-01
0.004,2007,6,-0.017816,2007-06-29,2007-06-01
0.004,2007,7,-0.031982,2007-07-31,2007-07-02
0.0042,2007,8,0.012864,2007-08-31,2007-08-01
0.0032,2007,9,0.035794,2007-09-28,2007-09-03
0.0032,2007,10,0.014822,2007-10-31,2007-10-01
0.0034,2007,11,-0.044043,2007-11-30,2007-11-01
0.0027,2007,12,-0.008628,2007-12-31,2007-12-03
0.0021,2008,1,-0.061163,2008-01-31,2008-01-01
0.0013,2008,2,-0.034761,2008-02-29,2008-02-01
0.0017,2008,3,-0.00596,2008-03-31,2008-03-03
0.0018,2008,4,0.047547,2008-04-30,2008-04-01
0.0018,2008,5,0.010674,2008-05-30,2008-05-01
0.0017,2008,6,-0.085962,2008-06-30,2008-06-02
0.0015,2008,7,-0.009859,2008-07-31,2008-07-01
0.0013,2008,8,0.012191,2008-08-29,2008-08-01
0.0015,2008,9,-0.090791,2008-09-30,2008-09-01
0.0008,2008,10,-0.169425,2008-10-31,2008-10-01
0.0003,2008,11,-0.074849,2008-11-28,2008-11-03
0.0,2008,12,0.007822,2008-12-31,2008-12-01
0.0,2009,1,-0.085657,2009-01-30,2009-01-01
0.0001,2009,2,-0.109931,2009-02-27,2009-02-02
0.0002,2009,3,0.085405,2009-03-31,2009-03-02
0.0001,2009,4,0.093925,2009-04-30,2009-04-01
0.0,2009,5,0.053081,2009-05-29,2009-05-01
0.0001,2009,6,0.000196,2009-06-30,2009-06-01
0.0001,2009,7,0.074142,2009-07-31,2009-07-01
0.0001,2009,8,0.03356,2009-08-31,2009-08-03
0.0001,2009,9,0.035723,2009-09-30,2009-09-01
0.0,2009,10,-0.019762,2009-10-30,2009-10-01
0.0,2009,11,0.057364,2009-11-30,2009-11-02
0.0001,2009,12,0.017771,2009-12-31,2009-12-01
0.0,2010,1,-0.036974,2010-01-29,2010-01-01
0.0,2010,2,0.028514,2010-02-26,2010-02-01
0.0001,2010,3,0.058796,2010-03-31,2010-03-01
0.0001,2010,4,0.014759,2010-04-30,2010-04-01
0.0001,2010,5,-0.081976,2010-05-31,2010-05-03
0.0001,2010,6,-0.053882,2010-06-30,2010-06-01
0.0001,2010,7,0.068778,2010-07-30,2010-07-01
0.0001,2010,8,-0.047449,2010-08-31,2010-08-02
0.0001,2010,9,0.087551,2010-09-30,2010-09-01
0.0001,2010,10,0.036856,2010-10-29,2010-10-01
0.0001,2010,11,-0.00229,2010-11-30,2010-11-01
0.0001,2010,12,0.0653,2010-12-31,2010-12-01
0.0001,2011,1,0.022646,2011-01-31,2011-01-03
0.0001,2011,2,0.031957,2011-02-28,2011-02-01
0.0001,2011,3,-0.001047,2011-03-31,2011-03-01
0.0,2011,4,0.028495,2011-04-29,2011-04-01
0.0,2011,5,-0.013501,2011-05-31,2011-05-02
0.0,2011,6,-0.018258,2011-06-30,2011-06-01
0.0,2011,7,-0.021474,2011-07-29,2011-07-01
0.0001,2011,8,-0.056791,2011-08-31,2011-08-01
0.0,2011,9,-0.071762,2011-09-30,2011-09-01
0.0,2011,10,0.107723,2011-10-31,2011-10-03
0.0,2011,11,-0.005059,2011-11-30,2011-11-01
0.0,2011,12,0.008533,2011-12-30,2011-12-01
0.0,2012,1,0.043583,2012-01-31,2012-01-02
0.0,2012,2,0.040589,2012-02-29,2012-02-01
0.0,2012,3,0.031332,2012-03-30,2012-03-01
0.0,2012,4,-0.007497,2012-04-30,2012-04-02
0.0001,2012,5,-0.062651,2012-05-31,2012-05-01
0.0,2012,6,0.039555,2012-06-29,2012-06-01
0.0,2012,7,0.012598,2012-07-31,2012-07-02
0.0001,2012,8,0.019763,2012-08-31,2012-08-01
0.0001,2012,9,0.024236,2012-09-28,2012-09-03
0.0001,2012,10,-0.019789,2012-10-31,2012-10-01
0.0001,2012,11,0.002847,2012-11-30,2012-11-01
0.0001,2012,12,0.007068,2012-12-31,2012-12-03
0.0,2013,1,0.050428,2013-01-31,2013-01-01
0.0,2013,2,0.011061,2013-02-28,2013-02-01
0.0,2013,3,0.035988,2013-03-29,2013-03-01
0.0,2013,4,0.018086,2013-04-30,2013-04-01
0.0,2013,5,0.020763,2013-05-31,2013-05-01
0.0,2013,6,-0.014999,2013-06-28,2013-06-03
0.0,2013,7,0.049462,2013-07-31,2013-07-01
0.0,2013,8,-0.031298,2013-08-30,2013-08-01
0.0,2013,9,0.029749,2013-09-30,2013-09-02
0.0,2013,10,0.044596,2013-10-31,2013-10-01
0.0,2013,11,0.028049,2013-11-29,2013-11-01
0.0,2013,12,0.023563,2013-12-31,2013-12-02
0.0,2014,1,-0.035583,2014-01-31,2014-01-01
0.0,2014,2,0.043117,2014-02-28,2014-02-03
0.0,2014,3,0.006932,2014-03-31,2014-03-03
0.0,2014,4,0.006201,2014-04-30,2014-04-01
0.0,2014,5,0.02103,2014-05-30,2014-05-01
0.0,2014,6,0.019058,2014-06-30,2014-06-02
0.0,2014,7,-0.01508,2014-07-31,2014-07-01
0.0,2014,8,0.037655,2014-08-29,2014-08-01
0.0,2014,9,-0.015514,2014-09-30,2014-09-01
0.0,2014,10,0.023201,2014-10-31,2014-10-01
0.0,2014,11,0.024534,2014-11-28,2014-11-03
0.0,2014,12,-0.004189,2014-12-31,2014-12-01
0.0,2015,1,-0.031041,2015-01-30,2015-01-01
0.0,2015,2,0.054893,2015-02-27,2015-02-02
0.0,2015,3,-0.017396,2015-03-31,2015-03-02
0.0,2015,4,0.008521,2015-04-30,2015-04-01
0.0,2015,5,0.010491,2015-05-29,2015-05-01
0.0,2015,6,-0.021012,2015-06-30,2015-06-01
0.0,2015,7,0.019742,2015-07-31,2015-07-01
0.0,2015,8,-0.062581,2015-08-31,2015-08-03
0.0,2015,9,-0.026443,2015-09-30,2015-09-01
0.0,2015,10,0.082983,2015-10-30,2015-10-01
0.0,2015,11,0.000505,2015-11-30,2015-11-02
0.0001,2015,12,-0.01753,2015-12-31,2015-12-01
0.0001,2016,1,-0.050735,2016-01-29,2016-01-01
0.0002,2016,2,-0.004128,2016-02-29,2016-02-01
0.0002,2016,3,0.065991,2016-03-31,2016-03-01
0.0001,2016,4,0.002699,2016-04-29,2016-04-01
0.0001,2016,5,0.015329,2016-05-31,2016-05-02
0.0002,2016,6,0.000906,2016-06-30,2016-06-01
0.0002,2016,7,0.03561,2016-07-29,2016-07-01
0.0002,2016,8,-0.001219,2016-08-31,2016-08-01
0.0002,2016,9,-0.001234,2016-09-30,2016-09-01
0.0002,2016,10,-0.019426,2016-10-31,2016-10-03
0.0001,2016,11,0.034174,2016-11-30,2016-11-01
0.0003,2016,12,0.018201,2016-12-30,2016-12-01
0.0004,2017,1,0.017884,2017-01-31,2017-01-02
0.0004,2017,2,0.037198,2017-02-28,2017-02-01
0.0003,2017,3,-0.000389,2017-03-31,2017-03-01
0.0005,2017,4,0.009091,2017-04-28,2017-04-03
0.0006,2017,5,0.011576,2017-05-31,2017-05-01
0.0006,2017,6,0.004814,2017-06-30,2017-06-01
0.0007,2017,7,0.019349,2017-07-31,2017-07-03
0.0009,2017,8,0.000546,2017-08-31,2017-08-01
0.0009,2017,9,0.019303,2017-09-29,2017-09-01
0.0009,2017,10,0.022188,2017-10-31,2017-10-02
0.0008,2017,11,0.028083,2017-11-30,2017-11-01
0.0009,2017,12,0.009832,2017-12-29,2017-12-01
0.0012,2018,1,0.056179,2018-01-31,2018-01-01
0.0011,2018,2,-0.038947,2018-02-28,2018-02-01
0.0011,2018,3,-0.026885,2018-03-30,2018-03-01
0.0014,2018,4,0.002719,2018-04-30,2018-04-02
0.0014,2018,5,0.021608,2018-05-31,2018-05-01
0.0014,2018,6,0.004842,2018-06-29,2018-06-01
0.0016,2018,7,0.036022,2018-07-31,2018-07-02
0.0016,2018,8,0.030263,2018-08-31,2018-08-01
0.0015,2018,9,0.004294,2018-09-28,2018-09-03
0.0019,2018,10,-0.069403,2018-10-31,2018-10-01
0.0018,2018,11,0.017859,2018-11-30,2018-11-01
0.002,2018,12,-0.091777,2018-12-31,2018-12-03
0.0021,2019,1,0.078684,2019-01-31,2019-01-01
0.0018,2019,2,0.029729,2019-02-28,2019-02-01
0.0019,2019,3,0.017924,2019-03-29,2019-03-01
0.0021,2019,4,0.039313,2019-04-30,2019-04-01
0.0021,2019,5,-0.065778,2019-05-31,2019-05-01
0.0018,2019,6,0.06893,2019-06-28,2019-06-03
0.0019,2019,7,0.013128,2019-07-31,2019-07-01
0.0016,2019,8,-0.018092,2019-08-30,2019-08-01
0.0018,2019,9,0.017181,2019-09-30,2019-09-02
0.0016,2019,10,0.020432,2019-10-31,2019-10-01
0.0012,2019,11,0.034047,2019-11-29,2019-11-01
0.0014,2019,12,0.02859,2019-12-31,2019-12-02
0.0013,2020,1,-0.001628,2020-01-31,2020-01-01
0.0012,2020,2,-0.08411,2020-02-28,2020-02-03
0.0013,2020,3,-0.125119,2020-03-31,2020-03-02
0.0,2020,4,0.126844,2020-04-30,2020-04-01
0.0001,2020,5,0.045282,2020-05-29,2020-05-01
0.0001,2020,6,0.018388,2020-06-30,2020-06-01
0.0001,2020,7,0.055101,2020-07-31,2020-07-01
0.0001,2020,8,0.070065,2020-08-31,2020-08-03
0.0001,2020,9,-0.039228,2020-09-30,2020-09-01
0.0001,2020,10,-0.027666,2020-10-30,2020-10-01
0.0001,2020,11,0.107546,2020-11-30,2020-11-02
0.0001,2020,12,0.037121,2020-12-31,2020-12-01
0.0001,2021,1,-0.011137,2021-01-29,2021-01-01
0.0,2021,2,0.026091,2021-02-26,2021-02-01
0.0,2021,3,0.042439,2021-03-31,2021-03-01
0.0,2021,4,0.052425,2021-04-30,2021-04-01
0.0,2021,5,0.005487,2021-05-31,2021-05-03
0.0,2021,6,0.022214,2021-06-30,2021-06-01
0.0,2021,7,0.022748,2021-07-30,2021-07-01
0.0,2021,8,0.02899,2021-08-31,2021-08-02
0.0,2021,9,-0.047569,2021-09-30,2021-09-01
0.0,2021,10,0.069144,2021-10-29,2021-10-01
0.0,2021,11,-0.008334,2021-11-30,2021-11-01
0.0001,2021,12,0.043613,2021-12-31,2021-12-01
0.0,2022,1,-0.052585,2022-01-31,2022-01-03
0.0,2022,2,-0.031361,2022-02-28,2022-02-01
0.0001,2022,3,0.035773,2022-03-31,2022-03-01
0.0001,2022,4,-0.087957,2022-04-29,2022-04-01
0.0003,2022,5,5.3e-05,2022-05-31,2022-05-02
0.0006,2022,6,-0.08392,2022-06-30,2022-06-01
0.0008,2022,7,0.091116,2022-07-29,2022-07-01
0.0019,2022,8,-0.04244,2022-08-31,2022-08-01
0.0019,2022,9,-0.093396,2022-09-30,2022-09-01
0.0023,2022,10,0.079863,2022-10-31,2022-10-03
0.0029,2022,11,0.053753,2022-11-30,2022-11-01
0.0033,2022,12,-0.058971,2022-12-30,2022-12-01
0.0035,2023,1,0.061753,2023-01-31,2023-01-02
0.0034,2023,2,-0.026112,2023-02-28,2023-02-01
0.0036,2023,3,0.035052,2023-03-31,2023-03-01
0.0035,2023,4,0.014642,2023-04-28,2023-04-03
0.0036,2023,5,0.002482,2023-05-31,2023-05-01
0.004,2023,6,0.064728,2023-06-30,2023-06-01
0.0045,2023,7,0.031139,2023-07-31,2023-07-03
0.0045,2023,8,-0.017716,2023-08-31,2023-08-01
0.0043,2023,9,-0.048719,2023-09-29,2023-09-01
0.0047,2023,10,-0.02198,2023-10-31,2023-10-02
0.0044,2023,11,0.089179,2023-11-30,2023-11-01
0.0043,2023,12,0.044229,2023-12-29,2023-12-01
